1000,XYZ,XYZ,2017-11-3 11:43:00.0,7702
1001,XYZ,XYZ,2017-11-15 11:23:00.0,6886
1002,ABC,AUD,2017-10-21 10:49:00.0,4603
1003,XYZ,GBP,2017-11-5 11:49:00.0,10360
1004,AUD,ABC,2017-9-18 9:6:00.0,6531
1005,EUR,ABC,2017-2-10 2:34:00.0,10376
1006,ABC,JPY,2017-10-12 10:36:00.0,770
1007,GBP,CAD,2017-1-19 1:35:00.0,1116
1008,XYZ,XYZ,2017-3-23 3:55:00.0,7542
1009,USD,XYZ,2017-8-11 8:59:00.0,6143
1010,AUD,GBP,2017-1-21 1:53:00.0,9142
1011,GBP,CAD,2017-9-19 9:15:00.0,10300
1012,EUR,CAD,2017-2-7 2:19:00.0,3493
1013,GBP,XYZ,2017-1-27 1:31:00.0,4344
1014,ABC,ABC,2017-2-10 2:14:00.0,8628
1015,ABC,XYZ,2017-2-3 2:59:00.0,1533
1016,CAD,GBP,2017-7-9 7:53:00.0,444
1017,JPY,USD,2017-8-24 8:28:00.0,9404
1018,ABC,GBP,2017-2-25 2:49:00.0,8543
1019,USD,EUR,2017-0-10 0:2:00.0,9298
1020,JPY,EUR,2017-0-18 0:22:00.0,4454
1021,GBP,XYZ,2017-9-27 9:7:00.0,2424
1022,CAD,USD,2017-11-20 11:48:00.0,6443
1023,ABC,AUD,2017-6-21 6:25:00.0,2267
1024,GBP,USD,2017-1-8 1:4:00.0,4641
1025,USD,XYZ,2017-8-7 8:27:00.0,10551
1026,CAD,ABC,2017-11-2 11:14:00.0,297
1027,EUR,GBP,2017-10-13 10:53:00.0,4395
1028,JPY,AUD,2017-8-21 8:21:00.0,3801
1029,USD,AUD,2017-4-21 4:37:00.0,6277
1030,AUD,XYZ,2017-5-19 5:15:00.0,8364
1031,ABC,GBP,2017-6-21 6:41:00.0,6479
1032,USD,CAD,2017-4-7 4:51:00.0,7027
1033,AUD,AUD,2017-5-17 5:9:00.0,9674
1034,GBP,CAD,2017-1-19 1:3:00.0,7572
1035,JPY,EUR,2017-4-6 4:10:00.0,3190
1036,USD,JPY,2017-4-16 4:44:00.0,2972
1037,CAD,GBP,2017-3-17 3:29:00.0,8940
1038,CAD,XYZ,2017-7-23 7:19:00.0,5034
1039,USD,XYZ,2017-4-19 4:59:00.0,3351
1040,ABC,EUR,2017-10-14 10:34:00.0,2264
1041,XYZ,XYZ,2017-7-11 7:43:00.0,6246
1042,XYZ,XYZ,2017-3-3 3:3:00.0,2574
1043,ABC,EUR,2017-6-18 6:58:00.0,1104
1044,JPY,GBP,2017-0-5 0:57:00.0,10277
1045,AUD,CAD,2017-9-7 9:51:00.0,696
1046,USD,CAD,2017-8-11 8:55:00.0,7827
1047,CAD,CAD,2017-11-27 11:11:00.0,9958
1048,GBP,JPY,2017-1-0 1:16:00.0,7805
1049,USD,USD,2017-8-8 8:48:00.0,6016
1050,CAD,CAD,2017-7-7 7:27:00.0,7878
1051,ABC,ABC,2017-6-22 6:22:00.0,8916
1052,EUR,JPY,2017-2-12 2:44:00.0,7422
1053,XYZ,XYZ,2017-7-23 7:47:00.0,4910
1054,EUR,AUD,2017-6-17 6:9:00.0,5583
1055,AUD,USD,2017-9-20 9:44:00.0,6845
1056,XYZ,XYZ,2017-3-7 3:7:00.0,1918
1057,JPY,CAD,2017-4-7 4:3:00.0,5623
1058,XYZ,XYZ,2017-11-3 11:27:00.0,9838
1059,USD,CAD,2017-0-19 0:11:00.0,867
1060,CAD,ABC,2017-3-18 3:14:00.0,1713
1061,AUD,ABC,2017-5-18 5:50:00.0,1259
1062,GBP,XYZ,2017-1-23 1:31:00.0,4304
1063,CAD,GBP,2017-3-17 3:9:00.0,2084
1064,EUR,JPY,2017-6-0 6:4:00.0,9574
1065,ABC,USD,2017-6-24 6:32:00.0,3142
1066,XYZ,EUR,2017-7-6 7:2:00.0,7825
1067,EUR,CAD,2017-2-15 2:31:00.0,6013
1068,USD,XYZ,2017-4-15 4:59:00.0,5927
1069,CAD,AUD,2017-7-9 7:9:00.0,1376
1070,ABC,EUR,2017-2-2 2:22:00.0,5232
1071,ABC,USD,2017-6-4 6:4:00.0,4734
1072,ABC,XYZ,2017-10-27 10:47:00.0,3005
1073,USD,ABC,2017-4-2 4:50:00.0,7334
1074,GBP,JPY,2017-9-16 9:32:00.0,2285
1075,JPY,GBP,2017-0-13 0:33:00.0,10413
1076,GBP,GBP,2017-5-25 5:13:00.0,1434
1077,AUD,USD,2017-5-4 5:52:00.0,3949
1078,XYZ,CAD,2017-11-15 11:47:00.0,9274
1079,CAD,AUD,2017-7-9 7:5:00.0,1304
1080,AUD,JPY,2017-1-12 1:56:00.0,5817
1081,ABC,CAD,2017-2-15 2:23:00.0,6121
1082,EUR,GBP,2017-10-9 10:9:00.0,6059
1083,JPY,XYZ,2017-8-3 8:31:00.0,835
1084,JPY,AUD,2017-0-9 0:21:00.0,9289
1085,USD,EUR,2017-4-2 4:54:00.0,3802
1086,XYZ,JPY,2017-7-24 7:12:00.0,5475
1087,CAD,XYZ,2017-3-11 3:15:00.0,4842
1088,GBP,AUD,2017-5-1 5:53:00.0,3110
1089,AUD,ABC,2017-1-22 1:22:00.0,4083
1090,XYZ,EUR,2017-11-26 11:50:00.0,2537
1091,XYZ,JPY,2017-7-8 7:16:00.0,7811
1092,ABC,CAD,2017-2-3 2:39:00.0,937
1093,CAD,EUR,2017-3-6 3:38:00.0,2453
1094,XYZ,ABC,2017-11-10 11:18:00.0,3205
1095,EUR,CAD,2017-10-7 10:27:00.0,8325
1096,ABC,AUD,2017-2-13 2:37:00.0,1963
1097,GBP,EUR,2017-9-6 9:2:00.0,1235
1098,JPY,AUD,2017-4-13 4:37:00.0,5673
1099,GBP,XYZ,2017-1-23 1:27:00.0,8080
1100,CAD,AUD,2017-7-9 7:29:00.0,5216
1101,ABC,CAD,2017-10-11 10:55:00.0,7073
1102,GBP,ABC,2017-1-14 1:10:00.0,9247
1103,AUD,AUD,2017-9-21 9:29:00.0,7802
1104,XYZ,AUD,2017-3-21 3:29:00.0,4124
1105,JPY,XYZ,2017-4-27 4:19:00.0,1619
1106,JPY,XYZ,2017-8-19 8:19:00.0,7267
1107,USD,GBP,2017-4-5 4:1:00.0,10153
1108,GBP,CAD,2017-5-7 5:19:00.0,4748
1109,JPY,ABC,2017-4-2 4:58:00.0,10114
1110,EUR,GBP,2017-6-5 6:45:00.0,2635
1111,GBP,GBP,2017-1-25 1:45:00.0,8178
1112,XYZ,EUR,2017-7-18 7:54:00.0,7681
1113,XYZ,AUD,2017-7-17 7:5:00.0,6172
1114,XYZ,CAD,2017-7-11 7:23:00.0,4010
1115,USD,AUD,2017-8-9 8:17:00.0,2053
1116,CAD,GBP,2017-7-21 7:9:00.0,10116
1117,JPY,USD,2017-0-16 0:8:00.0,4620
1118,USD,JPY,2017-0-0 0:44:00.0,1940
1119,GBP,CAD,2017-9-19 9:15:00.0,5572
1120,EUR,XYZ,2017-6-7 6:23:00.0,4281
1121,CAD,CAD,2017-11-11 11:7:00.0,2510
1122,XYZ,JPY,2017-3-0 3:24:00.0,1299
1123,GBP,ABC,2017-5-6 5:10:00.0,8319
1124,AUD,ABC,2017-1-14 1:54:00.0,5371
1125,USD,CAD,2017-4-15 4:39:00.0,1123
1126,XYZ,CAD,2017-7-23 7:59:00.0,5850
1127,USD,JPY,2017-8-12 8:56:00.0,6244
1128,EUR,USD,2017-10-8 10:56:00.0,9586
1129,USD,USD,2017-8-24 8:4:00.0,9944
1130,USD,CAD,2017-0-15 0:47:00.0,8755
1131,EUR,AUD,2017-6-13 6:29:00.0,767
1132,GBP,AUD,2017-1-17 1:57:00.0,3222
1133,AUD,GBP,2017-9-9 9:41:00.0,1486
